post_id,date,period,channel,channel_type,content_type,is_paid,spend_usd,impressions,video_views,likes,shares,comments,clicks,landing_page
P0000019,2025-10-04,pre_campaign,X,social,teaser,1,497.32,67657,2593,871,220,20,642,/landing/partner-gyms
P0000020,2025-10-04,pre_campaign,X,social,teaser,0,0.0,16298,916,132,33,7,79,/landing/free-trial
P0000021,2025-10-04,pre_campaign,X,social,teaser,0,0.0,21653,437,338,93,20,141,/landing/free-trial
P0000022,2025-10-04,pre_campaign,X,social,behind_scenes,0,0.0,33476,1584,506,46,27,203,/landing/rewards
P0000023,2025-10-05,pre_campaign,Instagram,social,teaser,0,0.0,50282,22886,1300,227,58,671,/landing/free-trial
P0000024,2025-10-05,pre_campaign,X,social,teaser,1,298.15,39621,2608,396,114,19,367,/landing/documentary
P0000025,2025-10-06,pre_campaign,TikTok,social,teaser,0,0.0,74106,32284,3480,284,139,780,/landing/partner-gyms
P0000026,2025-10-06,pre_campaign,TikTok,social,behind_scenes,0,0.0,167888,76228,7878,671,705,2541,/landing/free-trial
P0000027,2025-10-06,pre_campaign,YouTube,video,teaser,0,0.0,47790,32705,326,111,43,727,/landing/partner-gyms
P0000028,2025-10-07,pre_campaign,TikTok,social,teaser,0,0.0,93766,36296,2745,124,443,909,/landing/documentary
P0000029,2025-10-07,pre_campaign,Instagram,social,teaser,1,926.03,142903,46319,8144,51,151,2482,/landing/rewards
P0000030,2025-10-07,pre_campaign,Instagram,social,behind_scenes,0,0.0,111152,35358,351,390,192,3226,/landing/partner-gyms
P0000031,2025-10-07,pre_campaign,X,social,behind_scenes,0,0.0,56217,2624,531,187,53,458,/landing/partner-gyms
P0000032,2025-10-07,pre_campaign,X,social,teaser,1,439.77,47697,1435,727,73,23,276,/landing/rewards
P0000033,2025-10-08,pre_campaign,TikTok,social,teaser,0,0.0,98972,56432,5509,548,397,1049,/landing/rewards
P0000034,2025-10-08,pre_campaign,Instagram,social,behind_scenes,1,786.04,104756,24813,3401,0,251,1869,/landing/partner-gyms
P0000035,2025-10-08,pre_campaign,X,social,teaser,0,0.0,27753,1061,301,0,31,118,/landing/partner-gyms
P0000036,2025-10-09,pre_campaign,TikTok,social,behind_scenes,1,1541.68,186640,77172,10442,1615,596,2277,/landing/rewards
P0000037,2025-10-09,pre_campaign,Instagram,social,teaser,0,0.0,38189,14573,1652,0,68,490,/landing/rewards
P0000038,2025-10-09,pre_campaign,YouTube,video,behind_scenes,0,0.0,50543,29121,671,175,38,450,/landing/free-trial
P0000039,2025-10-10,pre_campaign,Instagram,social,teaser,0,0.0,58550,18156,1386,145,102,901,/landing/documentary
P0000040,2025-10-10,pre_campaign,X,social,teaser,0,0.0,24038,756,327,37,15,192,/landing/rewards
P0000041,2025-10-10,pre_campaign,X,social,teaser,0,0.0,29757,1481,126,106,31,111,/landing/partner-gyms
P0000042,2025-10-11,pre_campaign,TikTok,social,behind_scenes,0,0.0,126934,74836,6212,0,331,2573,/landing/free-trial
P0000043,2025-10-11,pre_campaign,Instagram,social,teaser,0,0.0,70193,16747,1397,87,120,904,/landing/free-trial
P0000044,2025-10-11,pre_campaign,YouTube,video,behind_scenes,0,0.0,49832,27829,904,128,104,634,/landing/rewards
P0000045,2025-10-11,pre_campaign,X,social,behind_scenes,0,0.0,27885,1479,349,45,28,327,/landing/free-trial
P0000046,2025-10-11,pre_campaign,X,social,teaser,0,0.0,40644,2960,554,162,51,198,/landing/free-trial
P0000047,2025-10-12,pre_campaign,TikTok,social,teaser,0,0.0,176295,70908,10879,2050,421,2479,/landing/partner-gyms
P0000048,2025-10-12,pre_campaign,TikTok,social,teaser,0,0.0,188598,73475,10058,1534,1004,2339,/landing/free-trial
P0000049,2025-10-12,pre_campaign,TikTok,social,behind_scenes,0,0.0,119465,57362,4371,843,329,1642,/landing/free-trial
P0000050,2025-10-12,pre_campaign,TikTok,social,behind_scenes,0,0.0,263350,146250,13767,2537,823,3122,/landing/partner-gyms
P0000051,2025-10-12,pre_campaign,TikTok,social,teaser,0,0.0,144576,70650,7610,1557,140,1846,/landing/partner-gyms
P0000052,2025-10-12,pre_campaign,Instagram,social,teaser,0,0.0,53142,13719,2692,241,37,1078,/landing/documentary
P0000053,2025-10-12,pre_campaign,YouTube,video,teaser,1,977.55,55618,34205,1221,109,73,551,/landing/documentary
P0000054,2025-10-12,pre_campaign,YouTube,video,behind_scenes,0,0.0,40410,26984,589,106,41,439,/landing/free-trial
P0000055,2025-10-12,pre_campaign,YouTube,video,teaser,0,0.0,66350,38511,1369,94,39,436,/landing/documentary
P0000056,2025-10-12,pre_campaign,X,social,teaser,1,400.18,79415,3067,1360,166,68,859,/landing/partner-gyms
P0000057,2025-10-13,pre_campaign,TikTok,social,behind_scenes,0,0.0,192773,94843,6263,1659,434,3014,/landing/documentary
P0000058,2025-10-13,pre_campaign,Instagram,social,teaser,0,0.0,48750,16512,1471,0,27,495,/landing/free-trial
P0000059,2025-10-13,pre_campaign,Instagram,social,behind_scenes,0,0.0,87205,32544,3086,332,260,1947,/landing/rewards
P0000060,2025-10-13,pre_campaign,YouTube,video,behind_scenes,0,0.0,34215,20386,742,166,81,301,/landing/partner-gyms
P0000061,2025-10-14,pre_campaign,TikTok,social,behind_scenes,1,1527.82,127481,66101,4426,1560,660,366,/landing/free-trial
P0000062,2025-10-14,pre_campaign,TikTok,social,teaser,0,0.0,95787,43023,3508,1479,179,587,/landing/free-trial
P0000063,2025-10-14,pre_campaign,Instagram,social,teaser,0,0.0,94261,36521,2061,360,118,1586,/landing/documentary
P0000064,2025-10-14,pre_campaign,Instagram,social,teaser,1,1003.96,116269,46889,6228,563,63,1531,/landing/rewards
P0000065,2025-10-15,pre_campaign,YouTube,video,teaser,0,0.0,28257,16393,317,72,46,304,/landing/partner-gyms
P0000066,2025-10-15,pre_campaign,X,social,behind_scenes,0,0.0,16589,331,118,41,5,155,/landing/free-trial
P0000067,2025-10-15,pre_campaign,Website,owned,teaser,0,0.0,8159,366,0,0,0,527,/landing/free-trial
P0000068,2025-10-16,pre_campaign,TikTok,social,teaser,0,0.0,197564,99729,8989,0,221,2526,/landing/free-trial
P0000069,2025-10-16,pre_campaign,TikTok,social,teaser,0,0.0,163795,92526,3788,1488,746,1093,/landing/partner-gyms
P0000070,2025-10-16,pre_campaign,TikTok,social,teaser,0,0.0,139428,83597,10233,377,714,1550,/landing/rewards
P0000071,2025-10-16,pre_campaign,Instagram,social,teaser,1,970.0,63377,31553,1451,172,27,1282,/landing/documentary
P0000072,2025-10-16,pre_campaign,X,social,behind_scenes,1,525.07,48811,2107,367,50,22,668,/landing/free-trial
P0000073,2025-10-16,pre_campaign,X,social,behind_scenes,0,0.0,41281,2287,255,31,21,404,/landing/partner-gyms
P0000074,2025-10-16,pre_campaign,Website,owned,teaser,0,0.0,9427,566,0,0,0,610,/landing/free-trial
P0000075,2025-10-17,pre_campaign,TikTok,social,teaser,0,0.0,158152,80627,5774,1272,609,1382,/landing/free-trial
P0000076,2025-10-17,pre_campaign,Instagram,social,teaser,0,0.0,67132,25382,2179,250,130,1186,/landing/free-trial
P0000077,2025-10-17,pre_campaign,YouTube,video,behind_scenes,0,0.0,77456,49362,1721,216,105,502,/landing/partner-gyms
P0000078,2025-10-17,pre_campaign,Website,owned,behind_scenes,0,0.0,14881,696,0,0,0,1115,/landing/documentary
P0000079,2025-10-17,pre_campaign,Website,owned,behind_scenes,0,0.0,12463,429,0,0,0,456,/landing/partner-gyms
P0000080,2025-10-18,pre_campaign,TikTok,social,teaser,0,0.0,241335,136795,14395,1525,0,2666,/landing/free-trial
P0000081,2025-10-18,pre_campaign,TikTok,social,behind_scenes,0,0.0,133296,62192,7108,940,416,1878,/landing/documentary
P0000082,2025-10-18,pre_campaign,TikTok,social,behind_scenes,0,0.0,113402,63333,2422,1036,319,1459,/landing/rewards
P0000083,2025-10-18,pre_campaign,X,social,teaser,0,0.0,30082,1048,544,74,8,195,/landing/rewards
P0000084,2025-10-18,pre_campaign,TV_Trailer,offline_media,teaser,0,0.0,65053,12196,0,0,0,293,/landing/free-trial
P0000085,2025-10-19,pre_campaign,TikTok,social,behind_scenes,0,0.0,81992,41987,3328,791,113,955,/landing/free-trial
P0000086,2025-10-19,pre_campaign,TikTok,social,teaser,0,0.0,98934,55412,5328,823,171,942,/landing/rewards
P0000087,2025-10-19,pre_campaign,TikTok,social,teaser,0,0.0,59567,29438,2288,1104,134,869,/landing/rewards
P0000088,2025-10-19,pre_campaign,TikTok,social,teaser,0,0.0,76168,39723,5376,570,125,902,/landing/rewards
P0000089,2025-10-19,pre_campaign,Instagram,social,behind_scenes,0,0.0,58927,21104,1144,133,102,1002,/landing/free-trial
P0000090,2025-10-19,pre_campaign,YouTube,video,teaser,0,0.0,57542,33681,721,121,9,818,/landing/rewards
P0000091,2025-10-20,pre_campaign,TikTok,social,teaser,0,0.0,100603,39638,6064,181,239,1069,/landing/partner-gyms
P0000092,2025-10-20,pre_campaign,TikTok,social,teaser,0,0.0,89040,34496,4459,1068,321,1414,/landing/free-trial
P0000093,2025-10-20,pre_campaign,Instagram,social,teaser,0,0.0,42127,13456,1513,0,114,561,/landing/rewards
P0000094,2025-10-20,pre_campaign,Instagram,social,teaser,0,0.0,73839,26892,2918,64,164,1149,/landing/rewards
P0000095,2025-10-20,pre_campaign,Instagram,social,behind_scenes,0,0.0,91406,34077,2962,380,178,1863,/landing/rewards
P0000096,2025-10-20,pre_campaign,X,social,behind_scenes,0,0.0,74902,1575,937,151,17,728,/landing/rewards
P0000097,2025-10-20,pre_campaign,X,social,teaser,0,0.0,38722,2485,933,107,20,396,/landing/free-trial
P0000098,2025-10-20,pre_campaign,X,social,teaser,0,0.0,24029,2184,210,60,19,209,/landing/rewards
P0000099,2025-10-21,pre_campaign,TikTok,social,teaser,0,0.0,160124,99492,4143,693,167,2922,/landing/rewards
P0000100,2025-10-21,pre_campaign,TikTok,social,behind_scenes,0,0.0,130606,57655,4078,831,359,1545,/landing/free-trial
P0000101,2025-10-21,pre_campaign,TikTok,social,behind_scenes,0,0.0,150698,67731,6897,1063,205,1271,/landing/documentary
P0000102,2025-10-21,pre_campaign,X,social,teaser,1,517.88,25124,1244,185,50,18,212,/landing/free-trial
P0000103,2025-10-21,pre_campaign,TV_Trailer,offline_media,teaser,0,0.0,145695,30769,0,0,0,1073,/landing/partner-gyms
P0000104,2025-10-22,pre_campaign,TikTok,social,teaser,0,0.0,93961,43736,4563,423,150,1240,/landing/free-trial
P0000105,2025-10-22,pre_campaign,TikTok,social,teaser,0,0.0,136793,56502,4119,1141,330,2449,/landing/rewards
P0000106,2025-10-22,pre_campaign,Instagram,social,behind_scenes,0,0.0,97808,38280,3009,169,271,1063,/landing/documentary
P0000107,2025-10-22,pre_campaign,Instagram,social,behind_scenes,0,0.0,62600,18768,1612,225,63,876,/landing/free-trial
P0000108,2025-10-22,pre_campaign,X,social,behind_scenes,0,0.0,52213,1044,325,100,17,512,/landing/free-trial
P0000109,2025-10-22,pre_campaign,TV_Trailer,offline_media,teaser,0,0.0,250269,48337,0,0,0,850,/landing/free-trial
P0000110,2025-10-22,pre_campaign,TV_Trailer,offline_media,teaser,1,2746.84,477650,90131,0,0,0,2350,/landing/free-trial
P0000111,2025-10-22,pre_campaign,Website,owned,behind_scenes,0,0.0,14215,467,0,0,0,528,/landing/free-trial
P0000112,2025-10-22,pre_campaign,Website,owned,behind_scenes,0,0.0,12561,638,0,0,0,1149,/landing/documentary
P0000113,2025-10-23,pre_campaign,TikTok,social,teaser,1,1137.9,234292,111530,10099,3275,657,2833,/landing/free-trial
P0000114,2025-10-23,pre_campaign,Instagram,social,teaser,1,558.06,149992,51329,6521,823,229,2513,/landing/free-trial
P0000115,2025-10-24,pre_campaign,X,social,behind_scenes,0,0.0,26959,644,481,25,28,175,/landing/partner-gyms
P0000116,2025-10-24,pre_campaign,X,social,behind_scenes,0,0.0,45573,1643,797,139,38,545,/landing/documentary
P0000117,2025-10-25,pre_campaign,TikTok,social,teaser,0,0.0,89352,41419,5324,654,75,731,/landing/free-trial
P0000118,2025-10-25,pre_campaign,TikTok,social,teaser,1,1121.49,181240,90469,9376,764,332,2730,/landing/partner-gyms
P0000119,2025-10-25,pre_campaign,TikTok,social,teaser,0,0.0,100312,52259,6724,1064,339,602,/landing/free-trial
P0000120,2025-10-25,pre_campaign,TikTok,social,teaser,0,0.0,209062,89091,12033,1715,313,3276,/landing/rewards
P0000121,2025-10-26,pre_campaign,TikTok,social,teaser,0,0.0,158172,75266,10985,862,620,1713,/landing/free-trial
P0000122,2025-10-26,pre_campaign,YouTube,video,teaser,0,0.0,23299,15495,362,93,28,196,/landing/documentary
P0000123,2025-10-26,pre_campaign,X,social,behind_scenes,1,414.68,57002,2376,797,212,36,534,/landing/free-trial
P0000124,2025-10-26,pre_campaign,X,social,teaser,0,0.0,38465,1574,166,33,26,190,/landing/documentary
P0000125,2025-10-27,pre_campaign,TikTok,social,teaser,0,0.0,235512,111194,7104,1460,928,2286,/landing/documentary
P0000126,2025-10-27,pre_campaign,Instagram,social,teaser,1,1194.2,103885,32284,2495,85,191,2267,/landing/rewards
P0000127,2025-10-27,pre_campaign,YouTube,video,behind_scenes,1,1188.84,174148,120054,2937,378,222,2107,/landing/partner-gyms
P0000128,2025-10-27,pre_campaign,X,social,teaser,0,0.0,35900,2122,600,140,2,351,/landing/free-trial
P0000129,2025-10-28,pre_campaign,TikTok,social,teaser,0,0.0,115348,65725,8039,2000,294,962,/landing/documentary
P0000130,2025-10-28,pre_campaign,Instagram,social,behind_scenes,0,0.0,57277,13598,1675,79,65,669,/landing/rewards
P0000131,2025-10-28,pre_campaign,Instagram,social,teaser,0,0.0,70105,25356,2833,192,113,1118,/landing/free-trial
P0000132,2025-10-28,pre_campaign,TV_Trailer,offline_media,behind_scenes,0,0.0,132072,45534,0,0,0,794,/landing/free-trial
P0000133,2025-10-29,pre_campaign,TikTok,social,teaser,0,0.0,91693,49240,2726,774,187,951,/landing/free-trial
P0000134,2025-10-29,pre_campaign,X,social,behind_scenes,0,0.0,33654,1332,411,0,21,143,/landing/free-trial
P0000135,2025-10-31,pre_campaign,TikTok,social,teaser,0,0.0,118640,60587,1596,1051,589,2121,/landing/free-trial
P0000136,2025-10-31,pre_campaign,TikTok,social,behind_scenes,1,1121.67,305215,125940,12896,4239,625,2138,/landing/rewards
P0000137,2025-10-31,pre_campaign,YouTube,video,teaser,1,1134.94,79946,54479,892,364,73,481,/landing/rewards
P0000138,2025-11-01,pre_campaign,TikTok,social,teaser,0,0.0,106681,50978,6623,438,257,1980,/landing/documentary
P0000139,2025-11-01,pre_campaign,Instagram,social,teaser,0,0.0,94606,37443,3867,316,77,1411,/landing/rewards
P0000140,2025-11-01,pre_campaign,X,social,teaser,0,0.0,32806,945,385,61,36,197,/landing/free-trial
P0000141,2025-11-01,pre_campaign,X,social,teaser,0,0.0,27177,1757,287,68,14,195,/landing/documentary
P0000142,2025-11-01,pre_campaign,Website,owned,behind_scenes,0,0.0,11135,381,0,0,0,824,/landing/documentary
P0000143,2025-11-02,pre_campaign,TikTok,social,teaser,0,0.0,119540,66878,5801,1332,338,1618,/landing/free-trial
P0000144,2025-11-02,pre_campaign,TikTok,social,behind_scenes,1,876.96,299896,170808,5873,2103,1188,4423,/landing/free-trial
P0000145,2025-11-02,pre_campaign,TikTok,social,teaser,0,0.0,72489,37086,3028,223,274,940,/landing/partner-gyms
P0000146,2025-11-02,pre_campaign,Instagram,social,teaser,0,0.0,71125,32105,2852,288,67,531,/landing/documentary
P0000147,2025-11-02,pre_campaign,X,social,behind_scenes,1,553.71,49551,1427,797,87,24,548,/landing/free-trial
P0000148,2025-11-02,pre_campaign,X,social,teaser,0,0.0,42180,1075,399,27,51,504,/landing/rewards
P0000149,2025-11-03,pre_campaign,TikTok,social,teaser,0,0.0,276651,117855,15532,2259,1023,1814,/landing/free-trial
P0000150,2025-11-03,pre_campaign,TikTok,social,teaser,0,0.0,97515,50946,7213,1457,246,1342,/landing/partner-gyms
P0000151,2025-11-03,pre_campaign,TikTok,social,behind_scenes,1,1329.9,270730,121635,11012,881,424,3429,/landing/documentary
P0000152,2025-11-03,pre_campaign,Instagram,social,teaser,0,0.0,92230,30882,1392,137,229,1396,/landing/free-trial
P0000153,2025-11-03,pre_campaign,Instagram,social,teaser,0,0.0,67463,23923,2174,220,0,872,/landing/free-trial
P0000154,2025-11-03,pre_campaign,X,social,teaser,0,0.0,43355,1846,559,48,72,374,/landing/rewards
P0000155,2025-11-03,pre_campaign,X,social,behind_scenes,0,0.0,27926,1579,354,31,18,243,/landing/free-trial
P0000156,2025-11-04,pre_campaign,TikTok,social,teaser,0,0.0,240034,138936,8182,1811,666,4077,/landing/free-trial
P0000157,2025-11-04,pre_campaign,TikTok,social,teaser,0,0.0,219249,99318,7794,2902,187,1904,/landing/documentary
P0000158,2025-11-04,pre_campaign,Instagram,social,behind_scenes,0,0.0,113555,34900,4431,176,195,1529,/landing/partner-gyms
P0000159,2025-11-04,pre_campaign,Instagram,social,teaser,1,981.96,180803,59117,7837,325,469,3274,/landing/free-trial
P0000160,2025-11-05,pre_campaign,TikTok,social,behind_scenes,1,888.46,747578,381696,53219,8241,2974,10600,/landing/partner-gyms
P0000161,2025-11-05,pre_campaign,TikTok,social,behind_scenes,0,0.0,290091,139234,8423,2320,821,2999,/landing/rewards
P0000162,2025-11-05,pre_campaign,TikTok,social,behind_scenes,0,0.0,395185,163020,22416,6020,1032,4509,/landing/documentary
P0000163,2025-11-05,pre_campaign,TikTok,social,behind_scenes,1,1147.6,254892,123774,12030,2128,622,1637,/landing/rewards
P0000164,2025-11-05,pre_campaign,Instagram,social,teaser,0,0.0,47240,13364,1239,182,112,819,/landing/free-trial
P0000165,2025-11-05,pre_campaign,Instagram,social,teaser,0,0.0,75706,34693,4069,149,185,2253,/landing/free-trial
P0000166,2025-11-05,pre_campaign,Instagram,social,behind_scenes,0,0.0,40325,14522,1918,0,113,876,/landing/free-trial
P0000167,2025-11-05,pre_campaign,Instagram,social,teaser,0,0.0,47171,13686,2193,216,84,905,/landing/documentary
P0000168,2025-11-05,pre_campaign,Instagram,social,teaser,0,0.0,41669,14502,2533,146,55,502,/landing/documentary
P0000169,2025-11-05,pre_campaign,TV_Trailer,offline_media,teaser,0,0.0,98928,29911,0,0,0,322,/landing/partner-gyms
P0000170,2025-11-06,pre_campaign,TikTok,social,teaser,1,1233.49,230325,113270,9468,1645,567,2399,/landing/free-trial
P0000171,2025-11-06,pre_campaign,TikTok,social,teaser,0,0.0,191153,96384,8943,826,672,4102,/landing/free-trial
P0000172,2025-11-06,pre_campaign,Instagram,social,behind_scenes,0,0.0,61647,18713,2150,176,134,1028,/landing/rewards
P0000173,2025-11-06,pre_campaign,Instagram,social,behind_scenes,0,0.0,83693,26593,1044,264,176,1135,/landing/free-trial
P0000174,2025-11-06,pre_campaign,X,social,teaser,0,0.0,35770,2066,485,49,24,532,/landing/rewards
P0000175,2025-11-06,pre_campaign,X,social,behind_scenes,0,0.0,21777,828,188,37,31,217,/landing/free-trial
P0000176,2025-11-07,pre_campaign,TikTok,social,teaser,0,0.0,212730,68972,5776,1136,1172,3713,/landing/free-trial
P0000177,2025-11-07,pre_campaign,TikTok,social,behind_scenes,0,0.0,228619,123297,6743,1369,787,2723,/landing/free-trial
P0000178,2025-11-07,pre_campaign,TikTok,social,teaser,1,1463.61,399925,176988,12964,3998,1427,4401,/landing/free-trial
P0000179,2025-11-07,pre_campaign,TikTok,social,teaser,0,0.0,265909,122243,3789,3888,693,1524,/landing/free-trial
P0000180,2025-11-07,pre_campaign,Instagram,social,teaser,0,0.0,50061,21889,957,175,148,719,/landing/free-trial
P0000181,2025-11-07,pre_campaign,X,social,teaser,0,0.0,28814,1878,391,39,22,247,/landing/partner-gyms
P0000182,2025-11-07,pre_campaign,Website,owned,behind_scenes,0,0.0,6771,135,0,0,0,231,/landing/free-trial
P0000183,2025-11-08,pre_campaign,TikTok,social,behind_scenes,0,0.0,218593,107340,10984,3306,0,2579,/landing/rewards
P0000184,2025-11-08,pre_campaign,TikTok,social,teaser,0,0.0,220685,107461,5495,1907,396,2582,/landing/documentary
P0000185,2025-11-08,pre_campaign,TikTok,social,behind_scenes,1,1512.41,416034,248004,22152,4679,1266,8277,/landing/rewards
P0000186,2025-11-08,pre_campaign,TikTok,social,teaser,0,0.0,211181,90043,9463,3639,807,2543,/landing/documentary
P0000187,2025-11-08,pre_campaign,TikTok,social,teaser,0,0.0,446758,170670,31182,1848,2029,6318,/landing/partner-gyms
P0000188,2025-11-08,pre_campaign,TikTok,social,teaser,1,1257.38,559724,303596,32880,4176,3045,8953,/landing/documentary
P0000189,2025-11-08,pre_campaign,TikTok,social,teaser,0,0.0,285654,125435,20941,3134,1035,4355,/landing/free-trial
P0000190,2025-11-08,pre_campaign,TikTok,social,teaser,0,0.0,344468,199212,10083,2273,1352,1271,/landing/free-trial
P0000191,2025-11-08,pre_campaign,Instagram,social,teaser,0,0.0,45079,12749,1448,21,108,343,/landing/partner-gyms
P0000192,2025-11-08,pre_campaign,Instagram,social,behind_scenes,0,0.0,98563,36085,3990,256,90,1208,/landing/rewards
P0000193,2025-11-08,pre_campaign,Instagram,social,teaser,1,593.0,94339,39561,3235,372,210,1011,/landing/free-trial
P0000194,2025-11-08,pre_campaign,X,social,behind_scenes,0,0.0,17478,1261,238,41,18,119,/landing/partner-gyms
P0000195,2025-11-08,pre_campaign,X,social,teaser,0,0.0,30862,2199,495,6,22,158,/landing/partner-gyms
P0000196,2025-11-08,pre_campaign,X,social,behind_scenes,0,0.0,27094,724,261,49,28,127,/landing/free-trial
P0000197,2025-11-09,pre_campaign,TikTok,social,behind_scenes,1,1365.77,529508,316357,14401,4256,1719,3609,/landing/free-trial
P0000198,2025-11-09,pre_campaign,TikTok,social,teaser,0,0.0,161113,77065,11733,2328,605,1891,/landing/documentary
P0000199,2025-11-09,pre_campaign,TikTok,social,behind_scenes,0,0.0,332835,145862,14321,2495,244,6053,/landing/free-trial
P0000200,2025-11-09,pre_campaign,Instagram,social,teaser,0,0.0,45651,11653,1350,110,52,378,/landing/documentary
P0000201,2025-11-09,pre_campaign,Instagram,social,teaser,0,0.0,78503,30272,2484,218,116,1606,/landing/free-trial
P0000202,2025-11-09,pre_campaign,Instagram,social,teaser,0,0.0,53366,16784,2119,225,117,904,/landing/rewards
P0000203,2025-11-09,pre_campaign,X,social,teaser,0,0.0,38007,2070,681,66,29,397,/landing/free-trial
P0000204,2025-11-09,pre_campaign,Website,owned,teaser,0,0.0,6748,311,0,0,0,310,/landing/free-trial
P0000205,2025-11-10,pre_campaign,TikTok,social,teaser,0,0.0,320678,148856,23757,3551,691,3829,/landing/free-trial
P0000206,2025-11-10,pre_campaign,TikTok,social,teaser,0,0.0,230456,115841,13060,2396,711,2271,/landing/partner-gyms
P0000207,2025-11-10,pre_campaign,TikTok,social,teaser,0,0.0,350867,154709,23923,3307,1299,5467,/landing/rewards
P0000208,2025-11-10,pre_campaign,TikTok,social,teaser,0,0.0,337596,138594,9027,4625,1091,3492,/landing/partner-gyms
P0000209,2025-11-10,pre_campaign,TikTok,social,teaser,0,0.0,643968,319251,29265,1310,1032,10598,/landing/rewards
P0000210,2025-11-10,pre_campaign,TikTok,social,behind_scenes,0,0.0,406506,162310,17348,3272,1329,4517,/landing/free-trial
P0000211,2025-11-10,pre_campaign,Instagram,social,behind_scenes,0,0.0,45108,18000,1194,193,82,541,/landing/rewards
P0000212,2025-11-10,pre_campaign,Instagram,social,teaser,0,0.0,73996,22990,1939,228,28,1446,/landing/free-trial
P0000213,2025-11-10,pre_campaign,X,social,teaser,0,0.0,37635,1650,497,71,38,402,/landing/documentary
P0000214,2025-11-11,pre_campaign,TikTok,social,teaser,0,0.0,317465,168622,9246,1650,710,4146,/landing/free-trial
P0000215,2025-11-11,pre_campaign,TikTok,social,teaser,0,0.0,450990,205401,26849,1334,2041,3614,/landing/free-trial
P0000216,2025-11-11,pre_campaign,TikTok,social,teaser,0,0.0,308996,147752,12493,3977,1452,3303,/landing/free-trial
P0000217,2025-11-11,pre_campaign,TikTok,social,teaser,1,1440.43,237609,114427,6443,3304,535,2256,/landing/rewards
P0000218,2025-11-11,pre_campaign,Instagram,social,teaser,0,0.0,41152,12556,2005,0,76,572,/landing/free-trial
P0000219,2025-11-11,pre_campaign,Instagram,social,teaser,1,639.67,123530,44579,5400,528,259,2435,/landing/documentary
P0000220,2025-11-12,pre_campaign,TikTok,social,behind_scenes,0,0.0,405970,189292,2144,9566,605,2811,/landing/rewards
P0000221,2025-11-12,pre_campaign,TikTok,social,teaser,0,0.0,295877,147962,12803,750,289,4013,/landing/rewards
P0000222,2025-11-12,pre_campaign,TikTok,social,behind_scenes,0,0.0,415278,220642,20242,4561,773,2999,/landing/free-trial
P0000223,2025-11-12,pre_campaign,TikTok,social,teaser,0,0.0,370627,171716,17446,4215,628,4776,/landing/partner-gyms
P0000224,2025-11-12,pre_campaign,TikTok,social,teaser,0,0.0,271823,129047,8368,1393,0,3846,/landing/free-trial
P0000225,2025-11-12,pre_campaign,TikTok,social,teaser,0,0.0,206738,99022,8662,1776,594,3347,/landing/partner-gyms
P0000226,2025-11-12,pre_campaign,TikTok,social,teaser,1,902.2,538073,213463,24633,4527,1218,8363,/landing/free-trial
